client_id	round	local_train_ms	encode_gradient_ms	prove_ms	proof_size_bytes	sign_ms	signature_size_bytes
89	1	7.307	0.037	14.252	45	0.445	3309
90	1	7.113	0.061	17.043	45	0.661	3309
91	1	7.839	0.035	15.903	45	0.482	3309
92	1	9.057	0.054	17.615	45	0.296	3309
93	1	7.713	0.041	15.232	45	0.301	3309
94	1	6.511	0.030	14.548	45	0.286	3309
95	1	5.231	0.037	15.266	45	0.209	3309
96	1	5.703	0.038	16.411	45	0.223	3309
97	1	5.944	0.036	15.970	45	0.627	3309
98	1	6.624	0.037	16.108	45	0.257	3309
99	1	6.463	0.044	16.257	45	0.631	3309
0	2	8.580	0.057	16.103	43	0.383	3309
1	2	8.342	0.064	16.056	43	0.520	3309
2	2	6.784	0.038	15.847	43	0.589	3309
3	2	6.326	0.028	15.818	43	0.264	3309
4	2	5.773	0.025	14.788	43	0.297	3309
5	2	6.952	0.044	15.249	43	0.267	3309
6	2	6.929	0.035	15.792	43	0.198	3309
7	2	7.945	0.043	15.821	43	0.270	3309
8	2	6.799	0.045	14.691	43	0.230	3309
9	2	6.744	0.041	16.201	43	0.293	3309
10	2	6.249	0.042	19.668	45	0.376	3309
11	2	9.299	0.047	19.487	45	0.693	3309
12	2	9.619	0.145	14.361	45	0.299	3309
13	2	8.286	0.040	14.418	45	0.284	3309
14	2	7.338	0.032	15.103	45	0.389	3309
15	2	5.331	0.035	15.503	45	0.357	3309
16	2	5.451	0.040	14.985	45	0.233	3309
17	2	8.379	0.046	15.340	45	0.258	3309
18	2	8.182	0.043	14.788	45	0.336	3309
19	2	6.857	0.062	14.993	45	0.335	3309
20	2	5.706	0.073	18.734	45	0.693	3309
21	2	5.255	0.034	14.437	45	0.247	3309
22	2	5.809	0.040	14.590	45	0.238	3309
23	2	6.446	0.035	15.276	45	0.562	3309
24	2	5.504	0.036	16.438	45	0.281	3309
25	2	9.098	0.063	16.733	45	0.463	3309
26	2	7.241	0.070	18.719	45	0.339	3309
27	2	8.491	0.029	19.040	45	0.503	3309
28	2	8.230	0.254	18.194	45	0.404	3309
29	2	10.204	0.043	17.801	45	0.422	3309
30	2	7.433	0.044	19.271	45	0.326	3309
31	2	9.350	0.030	18.732	45	0.272	3309
32	2	11.346	0.074	18.403	45	0.512	3309
33	2	8.055	0.111	18.088	45	0.428	3309
34	2	9.695	0.068	21.940	45	0.448	3309
35	2	8.059	0.027	18.017	45	0.340	3309
36	2	9.262	0.071	18.644	45	0.357	3309
37	2	7.584	0.059	18.796	45	0.593	3309
38	2	6.336	0.037	17.775	45	0.158	3309
39	2	9.092	0.055	15.067	45	0.223	3309
40	2	6.127	0.041	15.693	45	0.177	3309
41	2	8.683	0.047	23.669	45	0.295	3309
42	2	9.546	0.095	17.389	45	0.228	3309
43	2	8.825	0.050	18.170	45	0.385	3309
44	2	5.932	0.038	16.451	45	0.325	3309
