client_id	round	verify_signature_ms	verify_proof_ms
74	1	0.157	0.001
75	1	0.293	0.002
76	1	0.175	0.001
77	1	0.151	0.001
78	1	0.216	0.001
79	1	0.265	0.001
80	1	0.253	0.001
81	1	0.243	0.001
82	1	0.159	0.001
83	1	0.216	0.001
84	1	0.273	0.003
85	1	0.158	0.001
86	1	0.199	0.001
87	1	0.158	0.001
88	1	0.213	0.002
89	1	0.300	0.002
90	1	0.250	0.001
91	1	0.247	0.002
92	1	0.213	0.002
93	1	0.219	0.001
94	1	0.162	0.001
95	1	0.160	0.001
96	1	0.207	0.001
97	1	0.157	0.001
98	1	0.184	0.004
99	1	0.171	0.001
0	2	0.348	0.002
1	2	0.237	0.008
2	2	0.243	0.002
3	2	0.230	0.001
4	2	0.220	0.001
5	2	0.168	0.001
6	2	0.283	0.001
7	2	0.271	0.002
8	2	0.172	0.003
9	2	0.258	0.001
10	2	0.264	0.002
11	2	0.242	0.002
12	2	0.219	0.001
13	2	0.182	0.001
14	2	0.242	0.001
15	2	0.235	0.002
16	2	0.246	0.001
17	2	0.226	0.001
18	2	0.294	0.002
19	2	0.268	0.002
20	2	0.240	0.002
21	2	0.173	0.001
22	2	0.242	0.001
23	2	0.233	0.001
24	2	0.274	0.002
25	2	0.252	0.002
26	2	0.225	0.001
27	2	0.241	0.002
28	2	0.303	0.001
29	2	0.169	0.001
30	2	0.279	0.001
31	2	0.307	0.002
32	2	0.227	0.001
33	2	0.226	0.002
34	2	0.389	0.002
35	2	0.222	0.002
36	2	0.285	0.002
37	2	0.156	0.001
38	2	0.157	0.001
39	2	0.164	0.001
40	2	0.204	0.001
41	2	0.213	0.001
42	2	0.203	0.001
43	2	0.303	0.003
44	2	0.185	0.001
45	2	0.229	0.001
46	2	0.211	0.001
47	2	0.212	0.002
48	2	0.182	0.001
49	2	0.212	0.001
50	2	0.204	0.001
51	2	0.290	0.001
52	2	0.210	0.001
53	2	0.219	0.001
54	2	0.199	0.001
55	2	0.178	0.001
56	2	0.209	0.001
57	2	0.166	0.001
58	2	0.172	0.001
59	2	0.211	0.001
60	2	0.156	0.001
61	2	0.227	0.001
62	2	0.239	0.001
63	2	0.190	0.001
64	2	0.162	0.001
65	2	0.241	0.001
66	2	0.171	0.001
67	2	0.159	0.001
68	2	0.171	0.001
69	2	0.223	0.001
70	2	0.234	0.001
71	2	0.284	0.001
72	2	0.304	0.002
73	2	0.155	0.001
74	2	0.555	0.002
75	2	0.164	0.001
76	2	0.155	0.001
77	2	0.220	0.002
78	2	0.245	0.002
79	2	0.283	0.001
80	2	0.170	0.001
81	2	0.300	0.001
82	2	0.154	0.001
83	2	0.152	0.001
84	2	0.295	0.002
85	2	0.188	0.001
86	2	0.172	0.003
87	2	0.244	0.001
88	2	0.240	0.004
89	2	0.225	0.001
90	2	0.159	0.001
91	2	0.253	0.001
92	2	0.170	0.001
93	2	0.278	0.002
94	2	0.177	0.001
95	2	0.316	0.002
96	2	0.252	0.001
97	2	0.257	0.002
98	2	0.248	0.001
99	2	0.263	0.001
0	3	0.261	0.001
1	3	0.281	0.001
2	3	0.264	0.001
3	3	0.219	0.001
4	3	0.159	0.001
5	3	0.201	0.001
6	3	0.262	0.001
7	3	0.227	0.002
8	3	0.234	0.001
9	3	0.187	0.001
10	3	0.157	0.001
11	3	0.306	0.002
12	3	0.182	0.001
13	3	0.155	0.001
14	3	0.228	0.002
15	3	0.254	0.002
16	3	0.182	0.001
17	3	0.210	0.001
18	3	0.168	0.001
19	3	0.163	0.001
20	3	0.174	0.001
21	3	0.270	0.001
22	3	0.231	0.001
23	3	0.232	0.001
24	3	0.207	0.001
25	3	0.365	0.002
26	3	0.253	0.002
27	3	0.245	0.001
28	3	0.228	0.001
29	3	0.226	0.001
30	3	0.292	0.002
31	3	0.232	0.001
32	3	0.286	0.002
33	3	0.283	0.001
34	3	0.220	0.002
35	3	0.303	0.001
